id,forum_id,page,ref,admin,user_ip,logon_name,timestamp,user_browser
1,1,/tag_view.php?id=http://man.43i.net/index.htm?,<blank>,0,218.186.8.228,*Guest,2009-01-10 10:36:42,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)
2,1,/,<blank>,1,95.104.62.43,Macpire,2009-01-10 10:36:45,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
3,1,/single_view.php?id=165122&gid=165032,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:36:52,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
5,1,/,<blank>,0,79.177.76.119,*Guest,2009-01-10 10:36:59,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_11; en) AppleWebKit/525.26.2 (KHTML, like Gecko) Version/3.2 Safari/525.26.12"
7,1,/,http://forum.mac-it.co.il/index.php,0,217.132.64.207,topazh1,2009-01-10 10:37:12,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
8,1,/forum/archive_single_view.php?id=147580&gid=147580,http://www.google.co.il/search?rlz=1C1GGLS_enIL301IL303&sourceid=chrome&ie=UTF-8&q=%D7%97%D7%A8%D7%99%D7%98%D7%94+%D7%90%D7%99%D7%99%D7%A4%D7%95%D7%93,0,89.139.27.171,*Guest,2009-01-10 10:37:15,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/525.19 (KHTML, like Gecko) Chrome/1.0.154.36 Safari/525.19"
10,1,/forum/archive.php?page=413,http://www.google.co.il/search?hl=iw&q=%D7%9B%D7%AA%D7%95%D7%91%D7%99%D7%95%D7%AA+%D7%9C%D7%91%D7%95%D7%9C%D7%98&start=10&sa=N,0,89.139.239.138,*Guest,2009-01-10 10:37:19,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)
11,1,/forum/archive_single_view.php?id=147580&gid=147580,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:37:19,Mediapartners-Google
12,1,/forum/archive.php?page=413,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:37:25,Mediapartners-Google
13,1,/forum/archive.php?page=413,<blank>,0,66.249.67.184,*Guest,2009-01-10 10:37:27,Mediapartners-Google
15,1,/,<blank>,0,89.139.214.253,*Guest,2009-01-10 10:37:39,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
17,1,/,<blank>,0,79.179.125.22,*Guest,2009-01-10 10:37:55,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
18,1,/archive_single_view.php?id=158281&gid=158281,<blank>,0,74.6.22.187,*Guest,2009-01-10 10:38:03,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)
20,1,/,<blank>,0,79.177.132.72,*Guest,2009-01-10 10:38:11,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
21,1,/,<blank>,0,79.177.128.33,*Guest,2009-01-10 10:38:13,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
22,1,/post.php?forum_id=1,http://forum.mac-it.co.il/post.php?forum_id=1,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:38:41,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
23,1,/index.php,http://forum.mac-it.co.il/feed.php,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:38:43,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
24,1,/,<blank>,0,84.108.83.2,Mrs. Brutal,2009-01-10 10:38:44,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
26,1,/,<blank>,0,79.177.132.72,*Guest,2009-01-10 10:38:51,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.0.5) Gecko/2008120121 Firefox/3.0.5
27,1,/archive_single_view.php?id=98033&gid=98009,<blank>,0,77.127.94.146,*Guest,2009-01-10 10:38:57,Mozilla/5.0 (Windows; U; Windows NT 5.1; he; rv:1.9.0.5) Gecko/2008120122 Firefox/3.0.5
30,1,/,http://forum.mac-it.co.il/board.php,0,79.181.108.9,Wine,2009-01-10 10:39:27,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_4_11; en) AppleWebKit/525.27.1 (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
31,1,/,<blank>,0,89.139.70.42,*Guest,2009-01-10 10:39:27,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-us) AppleWebKit/525.18.1 (KHTML, like Gecko) Version/3.1.2 Safari/525.20.1"
32,1,/forum/tag_view.php?id=http://man.43i.net/index.htm?,<blank>,0,218.186.8.228,*Guest,2009-01-10 10:39:29,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727)
