id,gid,body,admin,title,date,file_1,file_2,file_3,locked,mailto,parent,level,edit_in,removed,user_ip,mailback,priority,register,username,sort_date,link_url_1,link_url_2,link_url_3,file_info_1,file_info_2,file_info_3,link_name_1,link_name_2,link_name_3
14,14,"- הפורום כרגע עובד ללא רישום וגם כשיהיה רישום זה לא יהיה חובה.<br /><br />- שימוש בעוגיות כדי לזכור את שם המשתמש שהוקלד בפעם האחרונה בשדה שם הכותב. &lt;העוגיה נשארת למשך שבועיים במחשב&gt;<br /><br />- בימים הקרובים תווסף אפשרות של תגובה מהירה להודעות &lt;בדומה לפורום תפוז&gt;<br /><br />- הצעות הערות והארות יתקבלו בברכה<br /><br />הרעיון של הפורום ליצור מקום נטראלי לכל המשתמשים, ללא רקע מסחרי כלשהו אשר בדרך כלל גורם לאי נעימויות לצד מסויים ומונע חזרה אל הפורום.<br /><br />כמו כן אני מוכן לשפר ולשפץ להוסיף ולתקן את הפורום לפי דרישותיכם, מה שבדרך כלל בעייתי בפורומים מקבילים.<br /><br />מאחל לכולם הנאה מרובה,<br />Macpire ",0,ברוכים הבאים לפורום מקינטוש החדש =) ,16/03/2006 - 13:47,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Macpire,1143031969,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
16,14,"סופסוף יש פורום מקינטוש, שמקינטושאי אמיתי עמל עליו ,  בשביל שיהיה חוף מבטחים לכל  מי שגולש (שט) באינטרנט ומחפש אחרי המיגדלור (עם התפוח).<br /><br />בהצלחה לנו..<br />ותודה רבה לרודד<br /> ",0,כל הכבוד!!! }8{  ,16/03/2006 - 14:53,<blank>,<blank>,<blank>,0,<blank>,14,1,NULL,0,NULL,0,0,0,Idan,1142513603,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
17,14,תבטל אותה :-/ ,0,התצוגה המקדימה נוראית ,16/03/2006 - 15:55,<blank>,<blank>,<blank>,0,<blank>,14,1,NULL,0,NULL,0,0,0,רונן שרון,1142517329,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
18,14,זה יופיע רק לקבצים המצורפים (: נראה כבר... ,0,אשאיר את זה כפיצ'ר למי שרוצה.. ואולי ,16/03/2006 - 20:52,<blank>,<blank>,<blank>,0,<blank>,17,2,NULL,0,NULL,0,0,0,Macpire,1142535159,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
19,14,"כרגע  היתרון לא מורגש.  כשיהיו יותר הודעות בפורום, ובמקום להיכנס לבל הודעה קצרה<br />אז תוכל לראות את התוכן ......<br /> ",0,תשאיר אותה ,16/03/2006 - 21:23,<blank>,<blank>,<blank>,0,<blank>,18,3,NULL,0,NULL,0,0,0,Idan,1142537004,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
20,14,רודדצ'יק - מזל טוב כפרה! מקווים לשיתוף פעולה פורה בין הפורומים...<br /><br /><br /> }8{ <br /><br />ותעשה ביז'ו נורמלי ,0,אתה שקט! ,16/03/2006 - 21:26,<blank>,<blank>,<blank>,0,<blank>,19,4,NULL,0,NULL,0,0,0,אורלי ,1142537210,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
21,21,רודד אתה גדול. אמרת לך את זה פעם?   ;-)  ,0,"פורום נורמלי, ברוך השם !  ",18/03/2006 - 11:34,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,ליאור,1142778450,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
22,21,<blank>,0,הלו הלו בלי השם.. הוא לא אשם (: :-P  ,18/03/2006 - 18:52,<blank>,<blank>,<blank>,0,<blank>,21,1,NULL,0,NULL,0,0,0,Macpire,1142700764,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
23,21,<blank>,0,פיסי שולתתתתת!!!!!!!111 ,19/03/2006 - 13:04,<blank>,<blank>,<blank>,0,<blank>,22,2,NULL,0,NULL,0,0,0,Easy as Dell,1142766277,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
24,21,<blank>,0,שולת שולת... ,19/03/2006 - 16:27,<blank>,<blank>,<blank>,0,<blank>,23,3,NULL,0,NULL,0,0,0,Macpire,1142778450,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
28,21,NULL,1,תגובה מהירה שולתת! ,22/03/2006 - 14:01,<blank>,<blank>,<blank>,0,<blank>,24,4,NULL,0,NULL,0,0,0,Macpire,1143028893,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
29,14,<blank>,0,למה התצוגה המקדימה לא טובה? ,22/03/2006 - 14:52,<blank>,<blank>,<blank>,0,<blank>,17,2,NULL,0,NULL,0,0,0,שימי לב,1143031969,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
30,30,כל הכבוד! ,0,"רודד, סחטיקה! ",22/03/2006 - 14:57,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,טליק,1143032240,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
31,31,<blank>,0,בהצלחה :)  ,22/03/2006 - 14:57,<blank>,<blank>,<blank>,0,<blank>,0,0,NULL,0,NULL,0,0,0,Yoe,1143032271,http://,http://,http://,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
